,Attendance,Streak_Same_Mkt_Team
1612,40017,-1
1613,39289,-3
1614,37484,-3
1615,37416,1
1616,41595,-4
1617,41001,-5
1618,44043,-6
1619,37228,1
1620,39225,-1
1621,37314,1
1622,38514,1
1623,41867,2
1624,41162,3
1625,40005,3
1626,39112,-1
1627,42116,1
1628,41959,1
1629,41449,-1
1630,42977,-2
1631,38883,-3
1632,40364,2
1633,40120,2
1634,44052,3
1635,43024,-2
1636,41011,-3
1637,41019,-4
1638,40011,2
1639,43512,2
1640,39093,3
1641,40606,-2
1642,42059,-3
1643,38138,1
1644,39127,-1
1645,43577,-1
1646,37009,1
1647,41037,3
1648,43127,4
1649,38232,-1
1650,39107,-2
1651,38619,-3
1652,37857,-4
1653,42203,-6
1654,39123,1
1655,42357,2
1656,41404,1
1657,41707,1
1658,41222,-1
1659,41046,1
1660,40758,2
1661,42686,-1
1662,40414,-2
1663,43163,1
1664,39199,2
1665,43853,-2
1666,43513,1
1667,43525,2
1668,32864,-1
1669,43529,1
1670,31049,-1
1671,37003,1
1672,39005,2
1673,40025,3
1674,35107,-1
1675,37115,1
1676,37228,-1
1677,37247,-2
1678,36447,-2
1679,37684,-3
1680,40124,-4
1681,38561,1
1682,40128,-1
1683,39151,1
1684,40211,-2
1685,43511,1
1686,40098,-1
1687,36215,-2
1688,39117,-3
1689,40253,1
1690,33412,-1
1691,42521,-1
1692,43619,-2
1693,43524,1
1694,32287,2
1695,38833,-1
1696,33157,1
1697,38254,-2
1698,38911,-3
1699,39114,1
1700,35032,1
1701,41029,2
1702,35257,-1
1703,41253,-2
1704,42232,1
1705,42536,-1
1706,43012,-2
1707,39006,-3
1708,31549,-4
1709,41223,-5
1710,40161,1
1711,44111,2
1712,39505,3
1713,43103,-3
1714,40052,-4
1715,38315,1
1716,37565,1
1717,35555,2
1718,40365,-1
1719,38727,-1
1720,42017,1
1721,38823,2
1722,36663,3
1723,43711,-1
1724,36581,-2
1725,41123,-3
1726,38156,1
1727,43201,2
1728,37148,-1
1729,37728,1
1730,36610,2
1731,37198,4
1732,39102,5
1733,36638,6
1734,35497,-1
1735,36533,-2
1736,37459,1
1737,41014,2
1738,42774,3
1739,42581,4
1740,39217,1
1741,41113,2
1742,40794,-1
1743,39716,1
1744,39529,2
1745,39612,-1
1746,44106,1
1747,40022,2
